Country,State,Locality,Latitude,Longitude,Species,Nota
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Archilestes grandis,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Lestes simplex,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Argia oculata,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Argia oenea,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Argia extranea,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Argia pallens,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Erpetogomphus elaps,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Orthemis ferruginea,
Mexico,Puebla,Cholula,19.060503,-98.29909,Lestes alacer,
Mexico,Veracruz,Coatepec,19.451938,-96.959451,Hetaerina cruentata,
Mexico,Veracruz,Coatepec,19.451938,-96.959451,Brechmorhoga tepeaca,
Mexico,Veracruz,Coatzacoalcos,18.134481,-94.458991,Ischnura ramburii,
Mexico,Veracruz,Coatzacoalcos,18.134481,-94.458991,Micrathyria aequalis,
Mexico,Guerrero,Río Cocula,18.239625,-99.663139,Argia tezpi,
Mexico,Guerrero,Río Cocula,18.239625,-99.663139,Argia pulla,
Mexico,Guerrero,Río Cocula,18.239625,-99.663139,Dythemis sterilis,
Mexico,Guerrero,Río Cocula,18.239625,-99.663139,Argia frequentula,
Mexico,Colima,Colima,19.245211,-103.723994,Erythrodiplax funerea,
Mexico,Distrito Federal,Contreras,19.310345,-99.24359,Sympetrum illotum,
Mexico,Veracruz,Cordoba,18.883892,-96.92378,Libellula saturata,
Mexico,Veracruz,Cordoba,18.883892,-96.92378,Cannaphila vibex,
Mexico,Veracruz,Cordoba,18.883892,-96.92378,Dythemis sterilis,
Mexico,Veracruz,Cordoba,18.883892,-96.92378,Pantala flavescens,
Mexico,Veracruz,Cordoba,18.883892,-96.92378,Argia extranea,
Mexico,Morelos,Cuautla,18.812757,-98.950487,Libellula saturata,
Mexico,Morelos,Cuautla,18.812757,-98.950487,Orthemis ferruginea,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Hetaerina vulnerata,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Hetaerina americana,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Archilestes grandis,
